Name,Department,Rating,Difficulty,Number of Reviews,Would Take Again
Peter Sudmant,Biology,4.6,2.9,6.0,100%
Manuela Girotto,Environmental Science,3.7,3.3,3.0,67%
Timothy Crockett,Philosophy,4.8,3.5,38.0,81%
Ksenia Krasileva,Plant Biology,5.0,3.0,3.0,100%
Demian Pouzo,Economics,3.8,3.5,6.0,84%
Cecile Gaubert,Economics,4.0,4.0,10.0,78%
Khaled Mosalam,Civil Engineering,2.1,3.8,9.0,0%
Myriah Williams,Ethnic Studies,3.1,3.4,12.0,67%
Ian Holmes,Bioengineering,2.0,4.0,7.0,50%
Nikhil Srivastava,Mathematics,4.1,3.5,47.0,87%
Laura Perez,Ethnic Studies,2.8,3.0,16.0,50%
Matthew Stenberg,Political Science,4.2,2.8,6.0,67%
Daniel  Lee,Political Science,4.5,3.4,15.0,79%
Geoffrey O'Brien,English,3.9,3.3,16.0,72%
Ali Hanks,Engineering,5.0,4.0,1.0,100%
Alan Shabel,Biology,4.4,3.0,69.0,97%
Kurt Beyer,Business Administration,3.7,2.8,4.0,50%
Robert Littlejohn,Physics,4.2,3.7,3.0,100%
Natalya Nielsen,Scandinavian,,,,
Thomas Corbani,French,5.0,2.5,2.0,100%
Zi Qiang Qiu,Physics,4.3,2.8,18.0,80%
Christopher Walters,Economics,4.8,2.7,6.0,100%
Elisa Tamarkin,English,4.5,3.1,9.0,100%
Dmitry Livdan,Business Administration,3.2,4.1,41.0,82%
Yan Long,Sociology,3.6,3.9,5.0,75%
Steven Murray,Physical Education,4.5,1.0,5.0,100%
Joshua Gang,English,4.8,4.1,15.0,84%
Lane Martin,Materials Science,4.3,3.2,7.0,86%
Rose Wilkerson,Linguistics,3.0,2.1,17.0,80%
Lisa Pieraccini,Art History,5.0,3.0,23.0,100%
Dave Walter,Comparative Literature,5.0,2.3,20.0,89%
Nicolai Reshetikhin,Mathematics,3.5,3.0,96.0,84%
Scott Wallin,Theatre & Dance,5.0,3.5,17.0,88%
Bill Sha,MolecularCellular Biology,2.9,3.5,7.0,34%
Gregory Bruce,Asian Studies,4.3,2.6,13.0,85%
Kenneth Ribet,Mathematics,4.1,3.9,79.0,45%
Lea Beneish,Mathematics,5.0,2.8,5.0,100%
Maura Nolan,English,4.9,2.8,24.0,88%
Ahmad Rashid Salim,Near Eastern Studies,5.0,3.0,9.0,100%
Samuel Holland,MolecularCellular Biology,5.0,2.0,1.0,100%
Dorothy Hale,English,4.8,4.0,14.0,100%
Melanie Feakins,Geography,3.1,3.0,6.0,67%
Azin Seraj,Art,4.3,1.5,2.0,100%
John Huelsenbeck,Biology,4.5,3.3,41.0,94%
Francis (Michael) Christ,Mathematics,2.9,4.0,70.0,24%
Belen Bistue,Comparative Literature,5.0,2.9,9.0,100%
Andrea Gomez,Biology,4.9,2.4,7.0,100%
Peter Hurtubise,Sociology,5.0,1.3,4.0,100%
Oliver Whitmore,Linguistics,,,,
Michelle Koerner,French,4.7,2.0,8.0,86%
Michelle Koerner,Comparative Literature,4.8,2.0,2.0,100%
Christopher Ryba,Computer Science,3.9,3.4,6.0,100%
Cynthia Looy,Biology,2.5,4.3,7.0,100%
Lauren Heller,Mathematics,3.6,2.9,14.0,65%
Leslie Vaughan,Business Administration,1.0,5.0,1.0,
Frances Hellman,Environmental Science,,,,
Catherine Flynn,English,4.4,3.3,9.0,80%
Noha Farghal,Earth & Planetary Sciences,4.0,2.0,1.0,100%
Brian Judge,Political Science,2.0,4.9,8.0,100%
David Tse,Electrical Engineering,2.3,4.4,8.0,
Mohamad Siddique,Near Eastern Studies,3.8,3.4,5.0,
Sandy Chang,Civil & Environmental Engineering,,,,
Stephanie Nail,Political Science,2.8,2.1,7.0,100%
Saul Perlmutter,Physics,4.8,2.1,14.0,100%
Lee Fleming,Industrial Engineering,2.0,1.0,1.0,
Stephanie Zonszein,Political Science,1.0,3.0,2.0,
Nima Shomali,Business Administration,,,,
Julia Fawcett,Theatre & Dance,5.0,2.0,1.0,100%
Michael Jannson,Economics,2.0,4.0,1.0,
Ivan   Danilenko,Mathematics,,,,
Laurie Pearce,Near Eastern Studies,4.0,4.0,1.0,100%
Tina Sacks,Social Welfare,4.5,3.0,2.0,100%
Karina Palau,Literature,5.0,3.0,33.0,100%
Zheng Huang,Economics,2.9,5.0,32.0,92%
Deimy Chavez,Women's Studies,,,,
Niren Murthy,Bioengineering,3.3,2.1,9.0,50%
David Levine,Business Administration,2.1,3.7,17.0,17%
Eric Naiman,Comparative Literature,4.8,2.6,5.0,100%
Dacher Keltner,Psychology,4.1,2.8,91.0,72%
Myrna Douzjian,Slavic Languages & Literatures,5.0,2.9,5.0,100%
Gautam Premnath,English,1.7,3.7,12.0,0%
Darcy Grigsby,Art History,4.8,3.4,52.0,92%
Ole Hald,Mathematics,4.0,3.7,101.0,100%
George Anwar,Mechanical Engineering,3.6,3.0,19.0,56%
Luba Golburt,Languages,4.6,2.8,10.0,67%
Paul Pierson,Political Science,3.8,4.0,52.0,55%
Justin Yokota,Computer Science,3.6,4.6,21.0,100%
Nicolas Depetris Chauvin,Economics,4.3,3.8,6.0,100%
Thomas Courtade,Electrical Engineering,4.2,3.4,20.0,94%
G Cristina Mora,Sociology,4.0,3.4,7.0,100%
Joseph Farrell,Economics,1.9,3.8,12.0,17%
Djordje Popovic,Slavic Languages & Literatures,5.0,2.0,5.0,100%
Ronit Stahl,History,4.9,2.8,13.0,100%
Felix Fischer,Chemistry,2.1,5.0,7.0,100%
Xin Liu,Anthropology,2.8,2.5,82.0,100%
Margi Wald,Writing,4.4,3.1,21.0,100%
Thomas Lee,Business Administration,2.5,4.3,12.0,43%
Kevis Goodman,English,4.9,3.6,34.0,85%
Mark Haiman,Mathematics,5.0,4.0,120.0,95%
John Campbell,Philosophy,4.9,3.0,49.0,87%
Josh Jackson,Mass Communications,4.6,3.3,49.0,83%
Nathan Lowhorn,Physics,5.0,3.5,32.0,100%
David Romer,Economics,4.4,3.5,22.0,100%
Bonnie Morris,History,5.0,2.6,21.0,95%
Eric Chen,Mathematics,5.0,3.0,2.0,100%
Pradeep Chhibber,Political Science,2.9,3.3,51.0,54%
Luca Trevisan,Not Specified,3.0,3.4,5.0,34%
D Alfonso,Anthropology,3.8,3.2,5.0,
Sarah Sands Rice,English,,,,
Andrew Estrada Phuonng,Education,5.0,1.0,4.0,
Travis Wilds,French,5.0,3.0,1.0,
Aditya Adiredja,Mathematics,4.5,3.0,2.0,
Arpita Roy,Anthropology,5.0,3.6,40.0,100%
Ben Porter,Near Eastern Studies,4.0,2.4,12.0,86%
Swati Rana,English,5.0,2.0,1.0,
Junko Habu,Anthropology,3.9,3.1,24.0,100%
Brian Clancy,Comparative Literature,4.2,3.0,6.0,100%
Mia Lilly,Spanish,,,,
David Borengasser,Film,,,,
Aaron Bodoh-Creed,Business Administration,,,,
Weisi Cai,Chinese,5.0,2.8,12.0,100%
Pam Samuelson,Law,3.5,4.0,4.0,100%
Britt Koskella,Biology,5.0,3.0,2.0,100%
Craig Miller,MolecularCellular Biology,,,,
Sylvia Tiwon,Asian Studies,2.6,2.0,18.0,50%
Troy Smith,Scandinavian,4.0,2.0,1.0,100%
Amanda Goldstein,Comparative Literature,4.3,2.4,8.0,67%
Carrie Rosenbaum,Legal Studies,2.3,2.8,7.0,100%
greogry niemeyer,Art,,,,
Edmund Campion,Music,4.8,1.6,10.0,100%
Chanel Caplan,Mass Communications,4.0,4.0,1.0,100%
Martha Wilfahrt,Political Science,4.7,3.0,3.0,100%
Kenyatta Hinkle,Art,,,,
Nathan Atkinson,Rhetoric,4.5,3.0,2.0,100%
Anton Kaes,Film,4.7,3.6,10.0,67%
Kayoko Imagawa,Japanese,4.8,3.5,2.0,
Cheryl Colopy,English,4.5,3.8,7.0,86%
Pierre-Olivier Gourinchas,Economics,3.8,3.8,21.0,0%
Candace Hester,Public Policy,1.0,2.0,1.0,0%
Natalie Novoa,History,5.0,2.2,5.0,100%
John Efron,History,4.5,3.5,34.0,100%
Duncan Callaway,Public Policy,3.3,3.3,3.0,67%
Susan Muller,Chemical Engineering,4.6,3.4,5.0,100%
Daniel Kasen,Physics,5.0,2.6,8.0,100%
Tiffanny Page,Latin American Studies,3.3,4.0,2.0,100%
Alistair Sinclair,Computer Science,4.9,4.3,8.0,100%
Steve Conolly,Bioengineering,3.0,3.1,8.0,34%
Brad Delong,Economics,2.1,3.3,54.0,20%
Brandi Summers,Geography,5.0,2.0,5.0,100%
Olivia Bailey,Philosophy,4.8,3.1,7.0,100%
Ted Lempert,Political Science,3.9,3.0,26.0,64%
Yasunori Nomura,Physics,,,,
Kwong-loi Shun,Philosophy,4.3,4.0,3.0,67%
Mark Tanouye,Environmental Science,4.3,1.6,9.0,100%
Ken Jowitt,Political Science,4.1,3.6,9.0,
Tanja Cuk,Not Specified,3.8,3.7,11.0,88%
Carlos Norena,History,5.0,3.4,72.0,94%
Darren Zook,Political Science,5.0,3.3,226.0,89%
Laurent  Reyes,Social Welfare,1.0,5.0,2.0,
Apara Nanda,English,3.8,2.4,30.0,80%
Michael (miki) Lustig,Electrical Engineering,3.3,3.6,23.0,78%
Mark Sandberg,Scandinavian,4.0,3.3,21.0,87%
Yuichiro  Kamada,Business Administration,5.0,2.0,3.0,100%
Kourosh Youssefi,Mechanical Engineering,2.9,2.6,24.0,47%
Alex Von Rospatt,Asian Studies,4.1,3.3,15.0,75%
Jonathan Zwicker,East Asian Studies,,,,
Marc Hellerstein,Nutrition,4.8,2.3,11.0,100%
Emily Carpenter,Film,4.6,2.4,21.0,89%
Ephrem Fernandez,Psychology,4.4,2.4,16.0,100%
Dan Garcia,Computer Science,4.5,4.0,127.0,92%
Nancy Peluso,Environmental Science,2.7,3.4,22.0,58%
Davina Chan,Psychology,5.0,3.3,72.0,93%
zamansele nsele,Art History,,,,
Meeta Jha,Women's Studies,2.6,3.8,67.0,47%
Jennifer Bergner,Chemistry,4.5,3.8,6.0,100%
Sean Burns,English,3.1,4.5,7.0,100%
Iain Carmichael,Statistics,,,,
Sharon Coleman,English,5.0,2.0,1.0,100%
Nathan Cohan,English,,,,
Maia Darmon,Mathematics,1.0,5.0,1.0,
Nataliia Goshylyk,Slavic Languages & Literatures,5.0,2.0,2.0,100%
Mohamad Hallal,Civil Engineering,5.0,3.8,11.0,100%
Erin Hansen,Physics,2.0,4.0,1.0,
Todd Hickey,Classics,,,,
Lester Hu,Music,2.5,3.6,4.0,100%
Kea Johnston,Arts & Humanities,5.0,3.0,3.0,100%
Gary Karpen,Biology,,,,
Nicholas Laluk,Anthropology,4.8,2.4,3.0,100%
Semyon Leonenko,Slavic Languages & Literatures,,,,
Seamus Li,Economics,2.1,2.6,4.0,100%
Lorenzo Lones,Biology,4.8,3.6,13.0,100%
Johnny  Mathis,Anthropology,,,,
Antje Postema,Slavic Languages & Literatures,5.0,2.0,1.0,100%
Kevin Quintero,Education,1.0,4.0,1.0,
Ezra Rubenstein,Philosophy,5.0,3.0,1.0,100%
Joseph Shapiro,Economics,5.0,2.5,2.0,100%
Elora Shehabuddin,Women's Studies,1.8,2.5,7.0,
Lauren van der Walt,Public Health,5.0,1.0,1.0,100%
Gaby Wolodarski,Art,5.0,3.0,1.0,100%
Madeline Wyse,Religious Studies,5.0,4.0,1.0,100%
Lisa Yan,Computer Science,5.0,3.1,5.0,100%
Saira Gupta,Engineering,5.0,2.6,5.0,100%
Ari Edmundson,History,4.1,3.4,9.0,100%
Mae Teo,Physics,4.5,4.5,2.0,100%
Gloria Brar,Biology,5.0,2.0,1.0,100%
Ryan Chornock,Physics,5.0,3.0,1.0,100%
Edmund Mendelssohn,Music,5.0,2.4,8.0,100%
Constantin Teleman,Mathematics,2.3,4.3,52.0,13%
Mina Mirazimi,Business Administration,2.5,3.5,2.0,
Sumon Mazumdar,Business Administration,4.0,3.0,1.0,100%
Hatem Bazian,Near Eastern Studies,4.5,2.5,82.0,77%
Wendy Sparks,Theatre & Dance,,,,
Kendra Barnes,Physical Education,,,,
Latanya Tigner,Theatre & Dance,,,,
Mui Ong,Classics,,,,
Hillel Adesnik,Psychology,3.6,3.3,7.0,100%
Donnett Flash,Writing,3.0,4.4,35.0,64%
Travis Smith,Asian Studies,,,,
Crystal Chang,Sociology,4.0,3.0,39.0,82%
Magdalena Ostas,English,4.5,3.0,4.0,100%
Trevor  Jackson,History,5.0,3.4,4.0,100%
Samantha Lewis,Biology,5.0,4.0,1.0,100%
Brian Salazar,Engineering,2.4,4.0,16.0,100%
Panayiotis Papadopoulos,Engineering,3.8,3.6,32.0,40%
Matthew Lasner,Architecture,1.0,4.6,5.0,
Andrew Kim,Anthropology,4.5,3.3,4.0,100%
Negar Mehr,Mechanical Engineering,1.0,5.0,2.0,
Long Le-Khac,Asian Studies,5.0,1.5,2.0,100%
Nicole  Starosielski,Film,5.0,2.0,1.0,100%
Josh Zhang,Engineering,,,,
Robert Ritchie,Engineering,,,,
Brian Karl,Anthropology,2.4,2.8,23.0,27%
Christoph Hermann,Sociology,4.0,2.7,30.0,86%
Mohammed Nadeem,Business Administration,4.8,2.6,92.0,100%
Ethan Namvar,Economics,,,,
Nastaran Faghihnia,Nutrition,,,,
Ken Singer,Engineering,,,,
Kristine Okimura,Earth  Planetary Sciences,,,,
Robert Alford,Film,,,,
Lisa Cardyn,American Studies,,,,
Robert  Ayasse,Social Welfare,,,,
Roger Liu,Biology,,,,
Richard Nizzardini,Social Welfare,,,,
Benjamin   Feinbaum,English,,,,
Mateo Compareti,Near Eastern Studies,,,,
Ulf Olsson,Scandinavian,2.2,4.3,3.0,
Lisa Alvarez-Cohen,Civil Engineering,5.0,2.5,2.0,
Nilabh Shastri,Biology,4.9,3.5,6.0,
Ernest Hook,Public Health,2.5,3.7,7.0,
Paul Skokowski,Philosophy,3.7,2.6,5.0,
George Brimhall,Earth Science,3.8,2.3,12.0,
Squeak Carnwath,Art,3.3,2.7,6.0,
Tyrone Johnson,Writing,4.5,3.0,1.0,
Mary Lee,Spanish,3.3,2.5,2.0,
Yuet-Sim Chiang,Writing,3.2,3.7,17.0,
Percy Hintzen,African-American Studies,2.8,2.5,36.0,
Paolo Ney De Souza,Mathematics,2.4,2.9,18.0,
Mike Clancy,Computer Science,3.3,3.5,21.0,
Rebecca Bodenheimer,Music,2.4,3.9,10.0,
Michael Reich,Economics,2.7,3.0,8.0,
Arthur Shimamura,Psychology,4.5,1.8,25.0,
Robert Kagan,History,3.5,3.5,8.0,
Leon Litwack,History,3.8,2.9,71.0,
Bill Prinzmetal,Psychology,2.9,2.9,20.0,
D.H. Wright,Art History,2.7,3.7,14.0,
Barbara Bowman,Biology,3.3,2.9,20.0,
Chris Vulpe,Nutrition,3.3,3.2,6.0,
Marisa Escolar,Italian,4.5,2.8,4.0,
Bill Satariano,Public Health,4.5,2.0,1.0,
Neil Henry,Mass Communications,5.0,1.0,1.0,
Sirpa Tuomainen,Scandinavian,4.3,1.7,3.0,
Ruth Tringham,Anthropology,2.1,2.1,26.0,
Beatriz Manz,Geography,3.9,2.6,17.0,
Alexander Purcell,Environmental Science,5.0,3.7,3.0,
Christopher Shaw,History,,,,
Hong Yung Lee,Political Science,2.6,2.8,11.0,
Linda Williams,Film,3.2,3.9,15.0,
Thomas Budinger,Engineering,2.7,3.3,10.0,
Heino Nitsche,Chemistry,3.3,2.8,120.0,
Sally Fairfax,Environmental Science,3.8,1.6,18.0,
Galen Kranz,Architecture,3.1,2.0,6.0,
Mark Alper,Biology,3.9,3.3,12.0,
Michael Tarter,Public Health,2.9,3.2,6.0,
Chi Wang,Earth Science,3.3,2.0,8.0,
David Lindberg,Biology,2.9,3.4,8.0,
Abolhassan Astaneh-Asl,Engineering,3.5,1.9,10.0,
Ron Hendel,Religious Studies,4.2,2.0,20.0,
David Hollinger,History,4.8,2.0,3.0,
Andy Furco,Education,4.0,3.3,3.0,
Christopher McKee,Physics,3.5,2.1,7.0,
Mona Bower,Rhetoric,3.1,2.8,4.0,
Brent Mishler,Biology,3.3,3.8,33.0,100%
Jane Singh,Ethnic Studies,2.5,2.0,1.0,
D Brillinger,Not Specified,1.2,4.2,5.0,0%
William Kwok,Asian Studies,4.5,1.5,2.0,
Robert Betman,Chemistry,4.5,3.0,1.0,
Jasmina Vujic,Nuclear Engineering,5.0,3.0,1.0,
Alexander Pines,Chemistry,3.5,3.1,40.0,
Dagmar Theison,German,3.7,3.7,3.0,
Bruce Fuller,Education,4.5,2.3,4.0,
James Lincoln,Business Administration,1.9,3.9,9.0,
Steven Evans,Statistics,1.5,4.6,16.0,
Nathan Ross,Statistics,3.0,3.4,7.0,
Leo Blitz,Astronomy,3.0,2.7,6.0,
Dave Penneys,Mathematics,3.1,4.4,9.0,50%
Brody Reiman,Art,5.0,3.0,1.0,100%
Desiree Valadares,Architecture,,,,
Bharathwaj Muthuswamy,Electrical Engineering,3.5,1.8,4.0,100%
James Uejio,Computer Science,,,,
Charis Thompson,Women's Studies,4.6,2.7,16.0,100%
Santiago Canez,Mathematics,5.0,2.8,11.0,
Jesse Knutson,Asian Studies,4.5,4.0,1.0,
Michael Marletta,MolecularCellular Biology,4.7,2.3,3.0,100%
J. Jessup,History,,,,
Jennifer Duque,Asian Studies,,,,
Vikki YU,Optometry,4.0,1.0,1.0,
Jill Miller,Art,,,,
Richard Harland,Biology,3.6,3.6,4.0,100%
David  Beecher,International Studies,4.3,3.9,30.0,64%
Evan Bissell,Art,5.0,2.0,1.0,100%
Chan Bae,Mathematics,4.9,3.7,13.0,100%
Alex Haskell,African-American Studies,3.2,3.4,5.0,
Luke Oeding,Mathematics,2.3,4.8,4.0,
Sarah Ismail,Biology,5.0,3.0,1.0,
J S Eng,Psychology,3.0,1.0,1.0,
Deanna Kiser-Go,Near Eastern Studies,3.8,2.8,6.0,
Donald McQuade,English,4.3,2.3,6.0,
Lek-Heng Lim,Mathematics,4.3,2.4,5.0,
Mimi Koehl,Biology,2.3,3.7,3.0,
Ramesh Sridharan,Computer Science,4.8,3.0,10.0,80%
Angelique Allain,French,5.0,2.5,2.0,100%
Mahmood Monshipouri,Political Science,5.0,2.3,10.0,100%
Eran Rabani,Chemistry,4.5,3.9,22.0,82%
Gary Moskowitz,Journalism,,,,
Alec Apodaca,Anthropology,5.0,2.0,1.0,100%
Lee Bernstein,Nuclear Engineering,4.5,3.0,4.0,100%
Philip Wood,Mathematics,2.8,3.5,32.0,44%
Jane Cho,History,2.0,2.0,1.0,
Rauri Bowie,Biology,5.0,2.4,4.0,100%
Millicent Angelin,Business Administration,3.0,4.0,2.0,
Sarah Hamill,Art History,3.9,4.3,4.0,
David Ebrey,Philosophy,2.6,3.8,12.0,
Verda Delp,Writing,3.2,4.0,6.0,
Bryan Krantz,Biology,2.2,3.8,8.0,
Wayne Getz,Environ. Sci. Policy & Mgmt.,2.4,4.6,11.0,
Archana Dube,Economics,2.3,4.7,6.0,
Christopher Schmitt,Anthropology,4.5,2.5,2.0,
Aftab Ahmed,Languages,4.5,2.0,2.0,
Richard Van Sluyters,Optometry,5.0,1.0,2.0,
Annelise Morris,Anthropology,3.9,2.5,4.0,
Daniel Pomerleano,Mathematics,4.0,3.0,1.0,
Ali Hassan,Asian Studies,4.5,2.0,1.0,
Amelia Moore,Anthropology,5.0,3.0,1.0,
Gili Drori,Sociology,3.5,2.3,6.0,
Max Schmeder,History,4.8,3.0,2.0,
Rana Tomaira,Urban Design & Development,3.6,2.4,3.0,100%
Tapan Parikh,Information Systems,2.0,3.0,1.0,
Nick Kroshus,Business Administration,5.0,1.0,1.0,
Colas Zibaut,Rhetoric,4.5,3.0,1.0,
Christopher Paciorek,Statistics,2.0,4.7,3.0,
Laila  Riazi,Comparative Literature,,,,
Holly Schroth,Business Administration,3.5,2.6,30.0,50%
Joseph  Coppola,Film,,,,
Gail Offen-Brown,Writing,4.3,2.4,10.0,
Slobodan Simic,Mathematics,3.6,3.6,13.0,
J B Delong,Economics,1.0,3.0,1.0,
Shauna Somerville,Biology,4.0,4.0,1.0,100%
Mathijs de Vaan,Business Administration,,,,
David Zilberman,Economics,2.3,2.8,14.0,0%
Vladimir Cherkassky,Mathematics,1.9,4.7,9.0,
Dorothy Gilbert,English,4.4,1.5,4.0,100%
Steve Selvin,Statistics,3.8,2.4,14.0,50%
Mark Peterson,History,4.3,3.1,19.0,75%
Peter Sahlins,History,3.7,3.9,12.0,100%
Todd Green,Computer Science,,,,
Edward Fine,Information Systems,,,,
Jenefer Johnson,Theatre & Dance,2.8,2.3,19.0,0%
Kim Stryker,Landscape Architecture & Regional Planning,4.0,2.0,9.0,50%
Emmanuel Comte,History,4.0,3.0,1.0,100%
Joyce Oates,English,5.0,4.0,1.0,100%
Frederic Bourgoin,Mathematics,4.4,3.1,10.0,100%
Adam Arkin,Engineering,2.6,4.0,5.0,50%
Emilie Bergmann,Spanish,4.4,2.1,7.0,100%
Felipe Dias,Sociology,5.0,2.0,1.0,100%
Frank Zimring,Law,,,,
James Scott,Sociology,,,,
David Coll,Music,3.0,4.0,1.0,100%
James Porter,Rhetoric,5.0,1.5,2.0,100%
Gertrude Buehring,Biology,2.8,4.0,21.0,100%
Daniel Walin,Classics,4.4,4.0,4.0,
MacKenzie Moore,History,3.0,2.8,4.0,
Claire Kremen,Environmental Science,3.8,2.8,4.0,
Richard Gilbert,Economics,5.0,2.0,1.0,
Barbara Romanowicz,Earth & Planetary Sciences,2.5,5.0,1.0,
Dennis Geyer,Business Administration,2.8,2.7,9.0,
Alan Hammond,Mathematics,1.3,4.0,6.0,0%
Marina Ratner,Mathematics,4.0,3.7,90.0,100%
Monica Hidalgo,Scandinavian,4.0,2.5,2.0,0%
Philip Rogers,Political Science,,,,
Trinh Minh-Ha,Rhetoric,3.8,2.2,9.0,0%
Henk Roelink,Biology,3.3,4.1,7.0,40%
Alfred Arteaga,Ethnic Studies,4.2,2.9,9.0,
Noam Sobel,Psychology,3.2,3.7,14.0,100%
Andrew Falk,Education,4.2,2.8,6.0,
Steven Botterill,Italian,4.6,1.8,10.0,
Peter Hanson,Political Science,5.0,3.7,6.0,
Elizabeth Honig,Art History,4.6,3.5,10.0,
Lee Schruben,Industrial Engineering,4.7,4.0,3.0,100%
Kristin Scott,Biology,4.3,2.5,6.0,
Philip Kaminsky,Industrial Engineering,3.9,3.3,4.0,
Jeff Dorman,Biology,5.0,2.7,3.0,
Tai Melcher,Statistics,3.7,3.6,7.0,50%
Meir Dan-Cohen,Legal Studies,3.8,2.5,19.0,100%
Diane Anderson,Psychology,3.8,2.1,13.0,
Elaine Kim,Ethnic Studies,4.1,2.0,7.0,
Matthew Rahaim,Music,4.0,2.8,5.0,
Line Mikkelsen,Linguistics,4.9,2.9,22.0,86%
Yves Winter,Rhetoric,4.2,4.3,7.0,
Roshanak Kheshti,Women's Studies,3.7,2.7,6.0,
Jan Reimann,Mathematics,4.3,3.9,10.0,
Juliana Martinez,Spanish,4.6,2.8,5.0,
Sonia S'Hiri,Near Eastern Studies,5.0,3.5,6.0,
Awwab Bukhari,Political Science,4.4,2.6,7.0,
Arturo Davila,Ethnic Studies,4.2,2.7,3.0,
Matt Kondolf,Landscape Architecture & Regional Planning,4.0,3.0,1.0,100%
Eric Driscoll,Classics,3.4,3.5,4.0,
Hector Campbell Hall,Counseling,,,,
Diane Dwyer,Business Administration,3.9,2.6,4.0,100%
Michael Vanvalkenburgh,Mathematics,4.9,3.5,6.0,
Jennifer Walske,Business Administration,3.0,3.6,5.0,100%
Kerstin Lueck,Sociology,4.9,4.2,6.0,
Zachary Rosner,Psychology,4.8,1.3,6.0,
Jorge Díaz-Velez,Spanish,5.0,2.0,2.0,
Sanghoon Seok,Statistics,,,,
Peggy Lemaux,Biology,3.5,3.0,3.0,0%
Christina Feliciana,Social Welfare,3.8,2.0,3.0,67%
Caleb Hampton,Asian Studies,,,,
Ludovic Patey,Mathematics,2.7,4.3,3.0,0%
Atul Singh,International Studies,4.7,2.5,21.0,100%
Bac Tran,Languages,4.6,1.9,32.0,
Marika Kuzma,Music,4.6,3.6,18.0,100%
Harry Neale,Languages,4.8,2.7,7.0,
Andrea Lankin,English,3.9,2.6,5.0,
Julie Napolin,Rhetoric,4.9,3.3,9.0,
Jonathan Combs-Schilling,Italian,5.0,2.0,4.0,
J. Brooks Jessup,History,5.0,3.0,1.0,100%
Thomas Dandelet,History,5.1,3.0,25.0,90%
Allison Harvey,Psychology,3.6,2.3,24.0,50%
Carl Boettiger,Environ. Sci. Policy amp Mgmt.,5.0,2.0,1.0,100%
Eileen Jones,Film,4.1,3.2,16.0,67%
Franklin Zimring,Legal Studies,3.5,2.8,15.0,100%
Jamie Rifkin,Psychology,3.3,1.5,2.0,
Robertson Bayer,Mathematics,5.0,3.0,1.0,
Benjamin Stamm,Mathematics,2.0,4.0,2.0,
Mason Allred,German,4.1,2.6,5.0,
Michael Houser,Linguistics,5.0,2.0,1.0,
Gautam Rao,Economics,5.0,3.0,1.0,
Dee Bielenberg,History,2.7,3.4,5.0,
Nastaran FA,Nutrition,4.5,2.0,4.0,
Laure Marest-Caffey,Art History,4.7,3.0,7.0,
Deniz Gokturk,Film,1.5,2.9,4.0,50%
Mark Berger,Film,3.8,4.2,4.0,100%
Bob Glushko,Information Systems,3.3,3.0,15.0,80%
Patrick Baur,Environ. Sci. Policy & Mgmt.,3.5,3.5,2.0,50%
John Strain,Mathematics,4.3,3.2,18.0,84%
Laura Fantone,Women's Studies,1.8,3.8,5.0,0%
T. Don Tilley,Chemistry,2.5,3.3,9.0,0%
Wendy Weigmann,Social Welfare,4.0,4.0,1.0,100%
Raymond Jeanloz,Earth amp Planetary Sciences,2.5,2.0,2.0,0%
Ming Wu,Electrical Engineering,3.5,2.6,5.0,100%
Peter Glazer,Theatre & Dance,2.9,4.3,6.0,100%
Aparna Nambiar,English,,,,
Ruthe Foushee,Linguistics,5.0,4.0,1.0,100%
Brenda Fellows,Business Administration,2.5,4.0,2.0,
Marianne Smart,Music,3.3,2.5,17.0,100%
Dor Abrahamson,Education,4.5,4.5,2.0,100%
D.V. Jones,English,2.9,3.7,15.0,50%
Calanit Kamala,Economics,2.4,3.5,77.0,19%
Daylet Dominguez,Spanish,4.3,3.3,5.0,100%
Andrea Gadberry,Comparative Literature,4.8,3.9,8.0,86%
Ronald Fearing,Electrical Engineering,2.8,4.0,3.0,0%
William Littmann,Architecture,3.0,2.0,1.0,0%
Sam Liebhaber,Languages,3.1,3.0,5.0,0%
Ivor Emmanuel,Sociology,,,,
Darby Price,Ethnic Studies,3.0,2.5,2.0,0%
Jason Klocek,Political Science,5.0,4.0,1.0,100%
Nathan Hallquist,Engineering,3.5,2.5,6.0,0%
Israel Romem,Economics,1.0,4.8,4.0,0%
Joshua Troncoso,Ethnic Studies,4.0,3.0,4.0,100%
Yes Duffy,Architecture,2.5,4.5,2.0,100%
Corey Jackson,Information Systems,4.0,1.0,1.0,100%
Daniel Cer,Information Systems,,,,
Mark Butler,Information Systems,,,,
Seth Holmes,Environ. Sci. Policy & Mgmt.,5.0,3.5,2.0,100%
Theodore Pena,Classics,3.1,3.1,4.0,67%
Julia Harvard,Theatre  Dance,1.0,5.0,2.0,0%
Mark D'Esposito,Psychology,5.0,2.5,15.0,100%
Bruce Mangan,Psychology,2.8,3.0,53.0,58%
Greg Merrill,Social Welfare,5.0,4.0,2.0,100%
Allen Goldstein,Environ. Sci. Policy & Mgmt.,4.1,3.0,14.0,75%
Jennifer Johnson-Hanks,Anthropology,4.3,1.9,12.0,88%
John Canny,Computer Science,1.4,3.6,5.0,25%
Deborah Blocker,French,4.3,3.3,9.0,100%
Shannon Ciston,Chemical Engineering,,,,
Hal Haggard,Physics,4.9,3.5,6.0,100%
Edward Tyerman,Slavic Languages amp Literatures,5.0,3.0,3.0,100%
