Name,Department,Rating,Difficulty,Number of Reviews,Would Take Again
J S Eng,Professor in the Psychology department at University of California Berkeley,3,1,1,N/A
Deanna Kiser-Go,Professor in the Near Eastern Studies department at University of California Berkeley,3.8,2.8,6,N/A
Donald McQuade,Professor in the English department at University of California Berkeley,4.3,2.3,6,N/A
Lek-Heng Lim,Professor in the Mathematics department at University of California Berkeley,4.3,2.4,5,N/A
Mimi Koehl,Professor in the Biology department at University of California Berkeley,2.3,3.7,3,N/A
Ramesh Sridharan,Professor in the Computer Science department at University of California Berkeley,4.8,3,10,80%
Angelique Allain,Professor in the French department at University of California Berkeley,5,2.5,2,100%
Mahmood Monshipouri,Professor in the Political Science department at University of California Berkeley,5,2.3,10,100%
Eran Rabani,Professor in the Chemistry department at University of California Berkeley,4.5,3.9,22,82%
Gary Moskowitz,Professor in the Journalism department at University of California Berkeley,N/A,N/A,,N/A
Alec Apodaca,Professor in the Anthropology department at University of California Berkeley,5,2,1,100%
Lee Bernstein,Professor in the Nuclear Engineering department at University of California Berkeley,4.5,3,4,100%
Philip Wood,Professor in the Mathematics department at University of California Berkeley,2.8,3.5,32,44%
Jane Cho,Professor in the History department at University of California Berkeley,2,2,1,N/A
Rauri Bowie,Professor in the Biology department at University of California Berkeley,5,2.4,4,100%
Millicent Angelin,Professor in the Business Administration department at University of California Berkeley,3,4,2,N/A
Sarah Hamill,Professor in the Art History department at University of California Berkeley,3.9,4.3,4,N/A
David Ebrey,Professor in the Philosophy department at University of California Berkeley,2.6,3.8,12,N/A
Verda Delp,Professor in the Writing department at University of California Berkeley,3.2,4,6,N/A
Bryan Krantz,Professor in the Biology department at University of California Berkeley,2.2,3.8,8,N/A
Wayne Getz,Professor in the Environ. Sci. Policy & Mgmt. department at University of California Berkeley,2.4,4.6,11,N/A
Archana Dube,Professor in the Economics department at University of California Berkeley,2.3,4.7,6,N/A
Christopher Schmitt,Professor in the Anthropology department at University of California Berkeley,4.5,2.5,2,N/A
Aftab Ahmed,Professor in the Languages department at University of California Berkeley,4.5,2,2,N/A
Richard Van Sluyters,Professor in the Optometry department at University of California Berkeley,5,1,2,N/A
Annelise Morris,Professor in the Anthropology department at University of California Berkeley,3.9,2.5,4,N/A
Daniel Pomerleano,Professor in the Mathematics department at University of California Berkeley,4,3,1,N/A
Ali Hassan,Professor in the Asian Studies department at University of California Berkeley,4.5,2,1,N/A
Amelia Moore,Professor in the Anthropology department at University of California Berkeley,5,3,1,N/A
Gili Drori,Professor in the Sociology department at University of California Berkeley,3.5,2.3,6,N/A
Max Schmeder,Professor in the History department at University of California Berkeley,4.8,3,2,N/A
Rana Tomaira,Professor in the Urban Design & Development department at University of California Berkeley,3.6,2.4,3,100%
Tapan Parikh,Professor in the Information Systems department at University of California Berkeley,2,3,1,N/A
Nick Kroshus,Professor in the Business Administration department at University of California Berkeley,5,1,1,N/A
Colas Zibaut,Professor in the Rhetoric department at University of California Berkeley,4.5,3,1,N/A
Christopher Paciorek,Professor in the Statistics department at University of California Berkeley,2,4.7,3,N/A
Laila  Riazi,Professor in the Comparative Literature department at University of California Berkeley,N/A,N/A,,N/A
Holly Schroth,Professor in the Business Administration department at University of California Berkeley,3.5,2.6,30,50%
Joseph  Coppola,Professor in the Film department at University of California Berkeley,N/A,N/A,,N/A
Gail Offen-Brown,Professor in the Writing department at University of California Berkeley,4.3,2.4,10,N/A
Slobodan Simic,Professor in the Mathematics department at University of California Berkeley,3.6,3.6,13,N/A
J B Delong,Professor in the Economics department at University of California Berkeley,1,3,1,N/A
Shauna Somerville,Professor in the Biology department at University of California Berkeley,4,4,1,100%
Mathijs de Vaan,Professor in the Business Administration department at University of California Berkeley,N/A,N/A,,N/A
David Zilberman,Professor in the Economics department at University of California Berkeley,2.3,2.8,14,0%
Vladimir Cherkassky,Professor in the Mathematics department at University of California Berkeley,1.9,4.7,9,N/A
Dorothy Gilbert,Professor in the English department at University of California Berkeley,4.4,1.5,4,100%
Steve Selvin,Professor in the Statistics department at University of California Berkeley,3.8,2.4,14,50%
Mark Peterson,Professor in the History department at University of California Berkeley,4.3,3.1,19,75%
Peter Sahlins,Professor in the History department at University of California Berkeley,3.7,3.9,12,100%
Todd Green,Professor in the Computer Science department at University of California Berkeley,N/A,N/A,,N/A
Edward Fine,Professor in the Information Systems department at University of California Berkeley,N/A,N/A,,N/A
Jenefer Johnson,Professor in the Theatre & Dance department at University of California Berkeley,2.8,2.3,19,0%
Kim Stryker,Professor in the Landscape Architecture & Regional Planning department at University of California Berkeley,4,2,9,50%
Emmanuel Comte,Professor in the History department at University of California Berkeley,4,3,1,100%
Joyce Oates,Professor in the English department at University of California Berkeley,5,4,1,100%
Frederic Bourgoin,Professor in the Mathematics department at University of California Berkeley,4.4,3.1,10,100%
Adam Arkin,Professor in the Engineering department at University of California Berkeley,2.6,4,5,50%
Emilie Bergmann,Professor in the Spanish department at University of California Berkeley,4.4,2.1,7,100%
Felipe Dias,Professor in the Sociology department at University of California Berkeley,5,2,1,100%
Frank Zimring,Professor in the Law department at University of California Berkeley,N/A,N/A,,N/A
James Scott,Professor in the Sociology department at University of California Berkeley,N/A,N/A,,N/A
David Coll,Professor in the Music department at University of California Berkeley,3,4,1,100%
James Porter,Professor in the Rhetoric department at University of California Berkeley,5,1.5,2,100%
Gertrude Buehring,Professor in the Biology department at University of California Berkeley,2.8,4,21,100%
Daniel Walin,Professor in the Classics department at University of California Berkeley,4.4,4,4,N/A
MacKenzie Moore,Professor in the History department at University of California Berkeley,3,2.8,4,N/A
Claire Kremen,Professor in the Environmental Science department at University of California Berkeley,3.8,2.8,4,N/A
Richard Gilbert,Professor in the Economics department at University of California Berkeley,5,2,1,N/A
Barbara Romanowicz,Professor in the Earth & Planetary Sciences department at University of California Berkeley,2.5,5,1,N/A
Dennis Geyer,Professor in the Business Administration department at University of California Berkeley,2.8,2.7,9,N/A
Alan Hammond,Professor in the Mathematics department at University of California Berkeley,1.3,4,6,0%
Marina Ratner,Professor in the Mathematics department at University of California Berkeley,4,3.7,90,100%
Monica Hidalgo,Professor in the Scandinavian department at University of California Berkeley,4,2.5,2,0%
Philip Rogers,Professor in the Political Science department at University of California Berkeley,N/A,N/A,,N/A
Trinh Minh-Ha,Professor in the Rhetoric department at University of California Berkeley,3.8,2.2,9,0%
Henk Roelink,Professor in the Biology department at University of California Berkeley,3.3,4.1,7,40%
Alfred Arteaga,Professor in the Ethnic Studies department at University of California Berkeley,4.2,2.9,9,N/A
Noam Sobel,Professor in the Psychology department at University of California Berkeley,3.2,3.7,14,100%
Andrew Falk,Professor in the Education department at University of California Berkeley,4.2,2.8,6,N/A
Steven Botterill,Professor in the Italian department at University of California Berkeley,4.6,1.8,10,N/A
Peter Hanson,Professor in the Political Science department at University of California Berkeley,5,3.7,6,N/A
Elizabeth Honig,Professor in the Art History department at University of California Berkeley,4.6,3.5,10,N/A
Lee Schruben,Professor in the Industrial Engineering department at University of California Berkeley,4.7,4,3,100%
Kristin Scott,Professor in the Biology department at University of California Berkeley,4.3,2.5,6,N/A
Philip Kaminsky,Professor in the Industrial Engineering department at University of California Berkeley,3.9,3.3,4,N/A
Jeff Dorman,Professor in the Biology department at University of California Berkeley,5,2.7,3,N/A
Tai Melcher,Professor in the Statistics department at University of California Berkeley,3.7,3.6,7,50%
Meir Dan-Cohen,Professor in the Legal Studies department at University of California Berkeley,3.8,2.5,19,100%
Diane Anderson,Professor in the Psychology department at University of California Berkeley,3.8,2.1,13,N/A
Elaine Kim,Professor in the Ethnic Studies department at University of California Berkeley,4.1,2,7,N/A
Matthew Rahaim,Professor in the Music department at University of California Berkeley,4,2.8,5,N/A
Line Mikkelsen,Professor in the Linguistics department at University of California Berkeley,4.9,2.9,22,86%
Yves Winter,Professor in the Rhetoric department at University of California Berkeley,4.2,4.3,7,N/A
Roshanak Kheshti,Professor in the Women's Studies department at University of California Berkeley,3.7,2.7,6,N/A
Jan Reimann,Professor in the Mathematics department at University of California Berkeley,4.3,3.9,10,N/A
Juliana Martinez,Professor in the Spanish department at University of California Berkeley,4.6,2.8,5,N/A
Sonia S'Hiri,Professor in the Near Eastern Studies department at University of California Berkeley,5,3.5,6,N/A
Awwab Bukhari,Professor in the Political Science department at University of California Berkeley,4.4,2.6,7,N/A
Arturo Davila,Professor in the Ethnic Studies department at University of California Berkeley,4.2,2.7,3,N/A
Matt Kondolf,Professor in the Landscape Architecture & Regional Planning department at University of California Berkeley,4,3,1,100%
Eric Driscoll,Professor in the Classics department at University of California Berkeley,3.4,3.5,4,N/A
Hector Campbell Hall,Professor in the Counseling department at University of California Berkeley,N/A,N/A,,N/A
Diane Dwyer,Professor in the Business Administration department at University of California Berkeley,3.9,2.6,4,100%
Michael Vanvalkenburgh,Professor in the Mathematics department at University of California Berkeley,4.9,3.5,6,N/A
Jennifer Walske,Professor in the Business Administration department at University of California Berkeley,3,3.6,5,100%
Kerstin Lueck,Professor in the Sociology department at University of California Berkeley,4.9,4.2,6,N/A
Zachary Rosner,Professor in the Psychology department at University of California Berkeley,4.8,1.3,6,N/A
Jorge Díaz-Velez,Professor in the Spanish department at University of California Berkeley,5,2,2,N/A
Sanghoon Seok,Professor in the Statistics department at University of California Berkeley,N/A,N/A,,N/A
Peggy Lemaux,Professor in the Biology department at University of California Berkeley,3.5,3,3,0%
Christina Feliciana,Professor in the Social Welfare department at University of California Berkeley,3.8,2,3,67%
Caleb Hampton,Professor in the Asian Studies department at University of California Berkeley,N/A,N/A,,N/A
Ludovic Patey,Professor in the Mathematics department at University of California Berkeley,2.7,4.3,3,0%
Atul Singh,Professor in the International Studies department at University of California Berkeley,4.7,2.5,21,100%
Bac Tran,Professor in the Languages department at University of California Berkeley,4.6,1.9,32,N/A
Marika Kuzma,Professor in the Music department at University of California Berkeley,4.6,3.6,18,100%
Harry Neale,Professor in the Languages department at University of California Berkeley,4.8,2.7,7,N/A
Andrea Lankin,Professor in the English department at University of California Berkeley,3.9,2.6,5,N/A
Julie Napolin,Professor in the Rhetoric department at University of California Berkeley,4.9,3.3,9,N/A
Jonathan Combs-Schilling,Professor in the Italian department at University of California Berkeley,5,2,4,N/A
J. Brooks Jessup,Professor in the History department at University of California Berkeley,5,3,1,100%
Thomas Dandelet,Professor in the History department at University of California Berkeley,5.1,3,25,90%
Allison Harvey,Professor in the Psychology department at University of California Berkeley,3.6,2.3,24,50%
Carl Boettiger,Professor in the Environ. Sci. Policy amp Mgmt. department at University of California Berkeley,5,2,1,100%
Eileen Jones,Professor in the Film department at University of California Berkeley,4.1,3.2,16,67%
Franklin Zimring,Professor in the Legal Studies department at University of California Berkeley,3.5,2.8,15,100%
Jamie Rifkin,Professor in the Psychology department at University of California Berkeley,3.3,1.5,2,N/A
Robertson Bayer,Professor in the Mathematics department at University of California Berkeley,5,3,1,N/A
Benjamin Stamm,Professor in the Mathematics department at University of California Berkeley,2,4,2,N/A
Mason Allred,Professor in the German department at University of California Berkeley,4.1,2.6,5,N/A
Michael Houser,Professor in the Linguistics department at University of California Berkeley,5,2,1,N/A
Gautam Rao,Professor in the Economics department at University of California Berkeley,5,3,1,N/A
Dee Bielenberg,Professor in the History department at University of California Berkeley,2.7,3.4,5,N/A
Nastaran FA,Professor in the Nutrition department at University of California Berkeley,4.5,2,4,N/A
Laure Marest-Caffey,Professor in the Art History department at University of California Berkeley,4.7,3,7,N/A
Deniz Gokturk,Professor in the Film department at University of California Berkeley,1.5,2.9,4,50%
Mark Berger,Professor in the Film department at University of California Berkeley,3.8,4.2,4,100%
Bob Glushko,Professor in the Information Systems department at University of California Berkeley,3.3,3,15,80%
Patrick Baur,Professor in the Environ. Sci. Policy & Mgmt. department at University of California Berkeley,3.5,3.5,2,50%
John Strain,Professor in the Mathematics department at University of California Berkeley,4.3,3.2,18,84%
Laura Fantone,Professor in the Women's Studies department at University of California Berkeley,1.8,3.8,5,0%
T. Don Tilley,Professor in the Chemistry department at University of California Berkeley,2.5,3.3,9,0%
Wendy Weigmann,Professor in the Social Welfare department at University of California Berkeley,4,4,1,100%
Raymond Jeanloz,Professor in the Earth amp Planetary Sciences department at University of California Berkeley,2.5,2,2,0%
Ming Wu,Professor in the Electrical Engineering department at University of California Berkeley,3.5,2.6,5,100%
Peter Glazer,Professor in the Theatre & Dance department at University of California Berkeley,2.9,4.3,6,100%
Aparna Nambiar,Professor in the English department at University of California Berkeley,N/A,N/A,,N/A
Ruthe Foushee,Professor in the Linguistics department at University of California Berkeley,5,4,1,100%
Brenda Fellows,Professor in the Business Administration department at University of California Berkeley,2.5,4,2,N/A
Marianne Smart,Professor in the Music department at University of California Berkeley,3.3,2.5,17,100%
Dor Abrahamson,Professor in the Education department at University of California Berkeley,4.5,4.5,2,100%
D.V. Jones,Professor in the English department at University of California Berkeley,2.9,3.7,15,50%
Calanit Kamala,Professor in the Economics department at University of California Berkeley,2.4,3.5,77,19%
Daylet Dominguez,Professor in the Spanish department at University of California Berkeley,4.3,3.3,5,100%
Andrea Gadberry,Professor in the Comparative Literature department at University of California Berkeley,4.8,3.9,8,86%
Ronald Fearing,Professor in the Electrical Engineering department at University of California Berkeley,2.8,4,3,0%
William Littmann,Professor in the Architecture department at University of California Berkeley,3,2,1,0%
Sam Liebhaber,Professor in the Languages department at University of California Berkeley,3.1,3,5,0%
Ivor Emmanuel,Professor in the Sociology department at University of California Berkeley,N/A,N/A,,N/A
Darby Price,Professor in the Ethnic Studies department at University of California Berkeley,3,2.5,2,0%
Jason Klocek,Professor in the Political Science department at University of California Berkeley,5,4,1,100%
Nathan Hallquist,Professor in the Engineering department at University of California Berkeley,3.5,2.5,6,0%
Israel Romem,Professor in the Economics department at University of California Berkeley,1,4.8,4,0%
Joshua Troncoso,Professor in the Ethnic Studies department at University of California Berkeley,4,3,4,100%
Yes Duffy,Professor in the Architecture department at University of California Berkeley,2.5,4.5,2,100%
Corey Jackson,Professor in the Information Systems department at University of California Berkeley,4,1,1,100%
Daniel Cer,Professor in the Information Systems department at University of California Berkeley,N/A,N/A,,N/A
Mark Butler,Professor in the Information Systems department at University of California Berkeley,N/A,N/A,,N/A
Seth Holmes,Professor in the Environ. Sci. Policy & Mgmt. department at University of California Berkeley,5,3.5,2,100%
Theodore Pena,Professor in the Classics department at University of California Berkeley,3.1,3.1,4,67%
Julia Harvard,Professor in the Theatre  Dance department at University of California Berkeley,1,5,2,0%
Mark D'Esposito,Professor in the Psychology department at University of California Berkeley,5,2.5,15,100%
Bruce Mangan,Professor in the Psychology department at University of California Berkeley,2.8,3,53,58%
Greg Merrill,Professor in the Social Welfare department at University of California Berkeley,5,4,2,100%
Allen Goldstein,Professor in the Environ. Sci. Policy & Mgmt. department at University of California Berkeley,4.1,3,14,75%
Jennifer Johnson-Hanks,Professor in the Anthropology department at University of California Berkeley,4.3,1.9,12,88%
John Canny,Professor in the Computer Science department at University of California Berkeley,1.4,3.6,5,25%
Deborah Blocker,Professor in the French department at University of California Berkeley,4.3,3.3,9,100%
Shannon Ciston,Professor in the Chemical Engineering department at University of California Berkeley,N/A,N/A,,N/A
Hal Haggard,Professor in the Physics department at University of California Berkeley,4.9,3.5,6,100%
Edward Tyerman,Professor in the Slavic Languages amp Literatures department at University of California Berkeley,5,3,3,100%
Meredith  Spoto,Professor in the Legal Studies department at University of California Berkeley,4,3.3,4,0%
Jonathon Simon,Professor in the Law department at University of California Berkeley,4.6,2.9,11,100%
Sima Belmar,Professor in the Theatre & Dance department at University of California Berkeley,5,1.8,13,100%
Genaro Padilla,Professor in the English department at University of California Berkeley,4.7,2.3,10,100%
Mark Kettler,Professor in the History department at University of California Berkeley,N/A,N/A,,N/A
David Shuster,Professor in the Earth  Planetary Sciences department at University of California Berkeley,3.8,3.5,9,63%
David Sklansky,Professor in the Law department at University of California Berkeley,N/A,N/A,,N/A
Daniel Schneider,Professor in the Sociology department at University of California Berkeley,4.4,3.2,9,67%
Wayne Sousa,Professor in the Environmental Science department at University of California Berkeley,4.5,2.8,11,84%
Charles Briggs,Professor in the Anthropology department at University of California Berkeley,3.9,2.8,35,100%
Upkar Ubhi,Professor in the Asian Studies department at University of California Berkeley,3,2,1,100%
Tyleen Kelly,Professor in the English department at University of California Berkeley,4.7,4,3,100%
Kyle Russ-Navarro,Professor in the Mathematics department at University of California Berkeley,4.3,3,3,100%
Ellie King,Professor in the Chemistry department at University of California Berkeley,N/A,N/A,,N/A
Zeyu Zheng,Professor in the Industrial Engineering department at University of California Berkeley,4.9,3.8,4,100%
Patrick Beauchesne,Professor in the Anthropology department at University of California Berkeley,3.4,4.1,9,100%
Scott Hassler,Professor in the Earth Science department at University of California Berkeley,4.1,2.6,21,64%
Fae Myenne Ng,Professor in the Asian Studies department at University of California Berkeley,4.9,1.8,15,100%
Michel Laguerre,Professor in the Ethnic Studies department at University of California Berkeley,2.8,1.4,15,67%
Paul Thomas,Professor in the Political Science department at University of California Berkeley,2,3.7,13,N/A
David Harding,Professor in the Sociology department at University of California Berkeley,4.2,3.8,6,84%
Neil Viernes,Professor in the Chemistry department at University of California Berkeley,3.5,3.2,37,0%
Gavin Williams,Professor in the Music department at University of California Berkeley,5,3,1,100%
Jenna Burrell,Professor in the Information Systems department at University of California Berkeley,N/A,N/A,,N/A
Stephen Booth,Professor in the English department at University of California Berkeley,3.6,2.9,33,N/A
Corrine Riddell,Professor in the Public Health department at University of California Berkeley,N/A,N/A,,N/A
Asad Ahmed,Professor in the Near Eastern Studies department at University of California Berkeley,4.8,2.9,8,100%
Alexis Peri,Professor in the History department at University of California Berkeley,N/A,N/A,,N/A
Dennis Feehan,Professor in the Statistics department at University of California Berkeley,N/A,N/A,,N/A
Julia Havard,Professor in the Theatre & Dance department at University of California Berkeley,4,3,2,100%
John Lott,Professor in the Mathematics department at University of California Berkeley,5,3,22,92%
Lou Macher,Professor in the German department at University of California Berkeley,4,3,1,100%
Maximilien Zahnd,Professor in the History department at University of California Berkeley,N/A,N/A,,N/A
Aaron Parsons,Professor in the Astronomy department at University of California Berkeley,2.8,4.8,6,50%
Jim McGuire,Professor in the Biology department at University of California Berkeley,4.3,4,10,100%
Deborah Gordon,Professor in the Anthropology department at University of California Berkeley,1.5,4,2,0%
Daniel Sargent,Professor in the History department at University of California Berkeley,5,3.4,29,100%
Eliot Bessette,Professor in the Film department at University of California Berkeley,3.3,4.2,4,50%
Pamela Duffy,Professor in the Political Science department at University of California Berkeley,3,1.5,2,50%
Jack Moehle,Professor in the Civil Engineering department at University of California Berkeley,4.7,3.4,9,100%
Munis Faruqui,Professor in the Asian Studies department at University of California Berkeley,5,3.3,30,100%
Yi Ma,Professor in the Electrical Engineering department at University of California Berkeley,3,3.8,3,50%
Robert Birgeneau,Professor in the Physics department at University of California Berkeley,3.5,4,12,88%
Sara Mameni,Professor in the Ethnic Studies department at University of California Berkeley,5,3,1,100%
Kerry Shannon,Professor in the History department at University of California Berkeley,5,2,1,100%
Richard Kern,Professor in the French department at University of California Berkeley,4.3,2.5,6,100%
Silvia Tiwon,Professor in the Asian Studies department at University of California Berkeley,2,3,1,0%
Lawrence Cohen,Professor in the Anthropology department at University of California Berkeley,3,3.2,38,34%
Andres Rodriguez-Clare,Professor in the Economics department at University of California Berkeley,4.5,3,2,100%
Joey Kellner,Professor in the History department at University of California Berkeley,5,2,4,100%
Steve Lehman,Professor in the Biology department at University of California Berkeley,3.8,3.2,12,0%
David Sedlak,Professor in the Civil Engineering department at University of California Berkeley,4.9,3.4,9,84%
Simona Balan,Professor in the Public Health department at University of California Berkeley,3.7,2.7,3,67%
David Graves,Professor in the Chemical Engineering department at University of California Berkeley,3.6,3.3,4,0%
Astar Winoto,Professor in the Biology department at University of California Berkeley,2.9,4.1,10,67%
Darlene Francis,Professor in the Psychology department at University of California Berkeley,4.5,2.5,31,N/A
Flavio Silva de la Mora,Professor in the Anthropology department at University of California Berkeley,5,3,2,100%
NIMA Moini,Professor in the Mathematics department at University of California Berkeley,5,4,1,100%
Sean Freeder,Professor in the Political Science department at University of California Berkeley,4.5,3.5,13,93%
Carolyn Abbott,Professor in the Mathematics department at University of California Berkeley,5,3.4,9,100%
Jonas Wellendorf,Professor in the Scandinavian department at University of California Berkeley,5,2.6,8,100%
Jeremy Lovejoy,Professor in the Mathematics department at University of California Berkeley,5,2.8,4,100%
Marla Feller,Professor in the Biology department at University of California Berkeley,4.4,3.4,5,80%
Clare Talwalker,Professor in the International Studies department at University of California Berkeley,4.3,3.4,40,69%
Christopher Scott,Professor in the English department at University of California Berkeley,5,3.5,5,100%
Adam Benkato,Professor in the Near Eastern Studies department at University of California Berkeley,5.3,3.1,7,100%
Matthew DeJong,Professor in the Civil Engineering department at University of California Berkeley,3.8,3.8,5,80%
Nazune Menka,Professor in the Legal Studies department at University of California Berkeley,5,3,1,100%
Kristin Persson,Professor in the Materials Science department at University of California Berkeley,4,5,1,100%
Victoria Plaut,Professor in the Legal Studies department at University of California Berkeley,4.5,3.5,2,100%
Thomas Gepts,Professor in the Sociology department at University of California Berkeley,N/A,N/A,,N/A
Daryl Preece,Professor in the Bioengineering department at University of California Berkeley,1,4,2,0%
James Davies,Professor in the Music department at University of California Berkeley,5,2.4,18,100%
Qiang Zhou,Professor in the Biology department at University of California Berkeley,3.8,3.8,16,100%
Larry Rosenthal,Professor in the Public Policy department at University of California Berkeley,4,2.4,10,100%
Hayden Taylor,Professor in the Mechanical Engineering department at University of California Berkeley,4.8,3.1,13,93%
Alexei Yurchak,Professor in the Anthropology department at University of California Berkeley,3.8,3,18,86%
K R Ryan,Professor in the Biology department at University of California Berkeley,3.6,3.5,14,40%
Qing Zhou,Professor in the Psychology department at University of California Berkeley,5,1.8,4,100%
Geoff Penington,Professor in the Physics department at University of California Berkeley,5,5,1,100%
Michael Orland,Professor in the Music department at University of California Berkeley,4.6,2.9,9,100%
Delia  Neyra Tercero,Professor in the Languages department at University of California Berkeley,4.8,2.8,4,100%
Sylvie Corteel,Professor in the Mathematics department at University of California Berkeley,4,3,7,100%
Jasenka Rakas,Professor in the Civil Engineering department at University of California Berkeley,5,2.9,11,100%
Robert Goldman,Professor in the Religious Studies department at University of California Berkeley,4.5,1.7,17,100%
Jonathan Osler,Professor in the Education department at University of California Berkeley,N/A,N/A,,N/A
Rui Wang,Professor in the Chemical Engineering department at University of California Berkeley,3,3,1,100%
Jeffrey Chambers,Professor in the Geography department at University of California Berkeley,2.8,3.1,5,67%
Kunxin Luo,Professor in the Biology department at University of California Berkeley,4,3,13,50%
Nick Farrell,Professor in the Engineering department at University of California Berkeley,N/A,N/A,,N/A
Richard Saykally,Professor in the Chemistry department at University of California Berkeley,3.4,3.3,106,30%
Diana Bautista,Professor in the Biology department at University of California Berkeley,3.5,2.5,13,84%
Shachar Kariv,Professor in the Economics department at University of California Berkeley,3.8,4,20,89%
Nathan John,Professor in the Architecture department at University of California Berkeley,3.5,3.8,6,84%
Margaret Chowning,Professor in the History department at University of California Berkeley,3.8,3,15,100%
Chris Herold,Professor in the Theatre & Dance department at University of California Berkeley,5,4,67,97%
Charles Huang,Professor in the Arts amp Humanities department at University of California Berkeley,4.8,1.9,10,100%
Iris Mauss,Professor in the Psychology department at University of California Berkeley,5,2,12,100%
Achilles Speliotopoulos,Professor in the Physics department at University of California Berkeley,4.1,4.8,76,65%
Ami Zins,Professor in the Rhetoric department at University of California Berkeley,4.9,2,14,100%
Dara O'Rourke,Professor in the Environmental Science department at University of California Berkeley,4.4,2.5,12,100%
Michael Dalebout,Professor in the Rhetoric department at University of California Berkeley,5,3.1,4,100%
Katharina Kaiser,Professor in the Philosophy department at University of California Berkeley,5,2.5,2,100%
Barbara Richter,Professor in the Near Eastern Studies department at University of California Berkeley,4.3,3.3,6,100%
Michael Larkin,Professor in the Writing department at University of California Berkeley,5,3,33,100%
Georgina Kleege,Professor in the English department at University of California Berkeley,4.8,2.5,11,100%
Chad Denton,Professor in the International Studies department at University of California Berkeley,3.2,3.7,16,53%
Eric Stanley,Professor in the Women's Studies department at University of California Berkeley,4.9,2.8,9,100%
Kipling Will,Professor in the Biology department at University of California Berkeley,4.8,2.9,34,89%
Koji Shimizu,Professor in the Mathematics department at University of California Berkeley,4,4,2,100%
Katrin Wierheim,Professor in the Mathematics department at University of California Berkeley,2,3.5,2,0%
Dora Zhang,Professor in the English department at University of California Berkeley,2.5,3.9,9,60%
Mairi McLaughlin,Professor in the French department at University of California Berkeley,5,3.4,9,100%
Sukanya Banerjee,Professor in the English department at University of California Berkeley,5,3,3,100%
Brett Driben,Professor in the Comparative Literature department at University of California Berkeley,5,2,3,100%
Antonio Montalban,Professor in the Mathematics department at University of California Berkeley,3.4,2.8,10,67%
Laurent Coscoy,Professor in the Biology department at University of California Berkeley,3.3,4.4,13,80%
Jessica Laser,Professor in the English department at University of California Berkeley,5,3,3,100%
Daniel Warren,Professor in the Philosophy department at University of California Berkeley,3.3,3.9,54,43%
David Nadler,Professor in the Mathematics department at University of California Berkeley,4.6,4,38,85%
Lakshya Jain,Professor in the Computer Science department at University of California Berkeley,4.5,2.5,2,100%
Stanley Levers,Professor in the Italian department at University of California Berkeley,N/A,N/A,,N/A
Lisandro Claudio,Professor in the Asian Studies department at University of California Berkeley,3.5,3,2,50%
Vira Semenova,Professor in the Business Administration department at University of California Berkeley,N/A,N/A,,N/A
Doug Leeds,Professor in the Business Administration department at University of California Berkeley,5,2.4,3,100%
Dennis Baldocchi,Professor in the Environmental Science department at University of California Berkeley,3.4,3.8,22,55%
Lila Shiera,Professor in the Women's Studies department at University of California Berkeley,N/A,N/A,,N/A
Steve Chow,Professor in the Mathematics department at University of California Berkeley,1,5,1,0%
Rue Taylor,Professor in the Scandinavian department at University of California Berkeley,N/A,N/A,,N/A
David Wagner,Professor in the Computer Science department at University of California Berkeley,4.5,3,31,97%
Ani Adhikari,Professor in the Statistics department at University of California Berkeley,5,4,137,94%
Russell Ahn,Professor in the Physical Ed department at University of California Berkeley,4.1,2.8,20,100%
Duer-Berrick Jill,Professor in the Sociology department at University of California Berkeley,3.9,2.9,6,60%
James Webb,Professor in the Business Administration department at University of California Berkeley,3.5,4.3,21,53%
Daryl Chrzan,Professor in the Materials Science department at University of California Berkeley,4.3,3.9,15,100%
Melanie Chandra,Professor in the English department at University of California Berkeley,3.9,1.8,7,50%
Nasser Zakariya,Professor in the Rhetoric department at University of California Berkeley,4.3,3.4,6,60%
Heather Gray,Professor in the Physics department at University of California Berkeley,1,4.5,2,0%
Aaron Streets,Professor in the Bioengineering department at University of California Berkeley,4,5,1,N/A
Elizabeth Kovats,Professor in the Business Administration department at University of California Berkeley,2,3,1,0%
Kevin Williams,Professor in the Public Health department at University of California Berkeley,4,3,1,100%
Taryn Flock,Professor in the Mathematics department at University of California Berkeley,4.8,2,2,100%
Robert Harley,Professor in the Engineering department at University of California Berkeley,4,3.3,12,80%
Melanie Phillips,Professor in the Political Science department at University of California Berkeley,4.3,4,25,76%
Ryan Hass,Professor in the Mathematics department at University of California Berkeley,4.3,4.6,28,80%
Alan Pomerantz,Professor in the Legal Studies department at University of California Berkeley,5,3.9,17,100%
Chris Rycroft,Professor in the Mathematics department at University of California Berkeley,2.2,3.8,14,50%
Tatsuki Yoshida,Professor in the Biology department at University of California Berkeley,5,3,1,100%
Venkat Anantharam,Professor in the Electrical Engineering department at University of California Berkeley,3.5,3.5,2,100%
Bernt Wahl,Professor in the Engineering department at University of California Berkeley,3.8,2,2,100%
Jake Kosek,Professor in the Geography department at University of California Berkeley,3.8,2.8,24,72%
Joseph Lough,Professor in the Interdisciplinary Studies department at University of California Berkeley,3,3.5,13,43%
Greg Bonetti,Professor in the Comparative Literature department at University of California Berkeley,4.7,3.1,9,N/A
Per-Olof Persson,Professor in the Mathematics department at University of California Berkeley,4.6,3.8,35,100%
