Title,Course Code,Instructor,Days,Time,Location,Description
Reading and Composition,COLWRIT R4A,Donnett M Flash,"M, W, F",4:00 pm - 4:59 pm,Wheeler 100,"This writing seminar satisfies the first half of the Reading and Composition requirement. The course is designed to offer students structured, sustained, and highly articulated practice in the recursive processes entailed in reading, critical analysis, and composing. Students will read five thematically related book-length texts, or the equivalent, drawn from a range of genres, in addition to various non-print sources. In response to these materials, they will craft several short pieces leading up to three longer essays--works of exposition and argumentation."
"Reading, Composition, and Research: Perspectives on Immigration in 2024",COLWRIT R4B,Jordan A Ruyle,"M, W, F",9:00 am - 9:59 am,Social Sciences Building 118,N/A
"Reading, Composition, and Research: Berkeley Interventions",COLWRIT R4B,Sean Michael Burns,"M, W, F",10:00 am - 10:59 am,Haviland 214,N/A
"Reading, Composition, and Research: Berkeley Interventions",COLWRIT R4B,Sean Michael Burns,"M, W, F",11:00 am - 11:59 am,Haviland 321,N/A
"Reading, Composition, and Research",COLWRIT R4B,Belinda Kremer,"M, W, F",10:00 am - 10:59 am,Wheeler 122,"A lecture/seminar satisfying the second half of the Reading & Composition requirement, R4B offers structured and sustained practice in the processes used in reading, critical analysis, and writing. Students engage with thematically-related materials from a range of genres and media. In response, they craft short pieces leading to longer expository and/or argumentative essays. Students develop a research question, draft a research essay, gather, evaluate, and synthesize information from various sources. Elements of the research process--a proposal, an annotated bibliography, an abstract, a works cited list, etc.--are submitted with the final report in a research portfolio. Students write a minimum of 32 pages of prose."
"Reading, Composition, and Research: Performances of Protest",COLWRIT R4B,Scott Wallin,"M, W, F",2:00 pm - 2:59 pm,Social Sciences Building 118,N/A
"Reading, Composition, and Research",COLWRIT R4B,Belinda Kremer,"M, W, F",2:00 pm - 2:59 pm,Mulford 230,"A lecture/seminar satisfying the second half of the Reading & Composition requirement, R4B offers structured and sustained practice in the processes used in reading, critical analysis, and writing. Students engage with thematically-related materials from a range of genres and media. In response, they craft short pieces leading to longer expository and/or argumentative essays. Students develop a research question, draft a research essay, gather, evaluate, and synthesize information from various sources. Elements of the research process--a proposal, an annotated bibliography, an abstract, a works cited list, etc.--are submitted with the final report in a research portfolio. Students write a minimum of 32 pages of prose."
"Reading, Composition, and Research: Monsters and Modernity",COLWRIT R4B,Jonathan C Lang,"M, W, F",10:00 am - 10:59 am,Evans 47,N/A
"Reading, Composition, and Research: Everything, Everywhere: AI Chatbots, TikTok Trolls, Public Health Hoaxes & You",COLWRIT R4B,Ryan R Sloan,"TU, TH",9:30 am - 10:59 am,Dwinelle 89,N/A
"Reading, Composition, and Research: Everything, Everywhere: AI Chatbots, TikTok Trolls, Public Health Hoaxes & You",COLWRIT R4B,Ryan R Sloan,"TU, TH",11:00 am - 12:29 pm,Wheeler 100,N/A
"Reading, Composition, and Research: Inequity and Change: Class, Culture, and Health Care",COLWRIT R4B,Margi Wald,"TU, TH",12:30 pm - 1:59 pm,Mulford 230,N/A
"Reading, Composition, and Research: Stories of Sustainability",COLWRIT R4B,Kimberly Freeman,"TU, TH",2:00 pm - 3:29 pm,Dwinelle 210,N/A
"Reading, Composition, and Research: Modern Love, Ancient Brains",COLWRIT R4B,David C Wiese,"TU, TH",3:30 pm - 4:59 pm,Dwinelle 89,N/A
"Reading, Composition, and Research: Perspectives on Immigration in 2024",COLWRIT R4B,Jordan A Ruyle,"M, W, F",12:00 pm - 12:59 pm,Dwinelle 89,N/A
"Reading, Composition, and Research",COLWRIT R4B,Belinda Kremer,"M, W, F",3:00 pm - 3:59 pm,Mulford 230,"A lecture/seminar satisfying the second half of the Reading & Composition requirement, R4B offers structured and sustained practice in the processes used in reading, critical analysis, and writing. Students engage with thematically-related materials from a range of genres and media. In response, they craft short pieces leading to longer expository and/or argumentative essays. Students develop a research question, draft a research essay, gather, evaluate, and synthesize information from various sources. Elements of the research process--a proposal, an annotated bibliography, an abstract, a works cited list, etc.--are submitted with the final report in a research portfolio. Students write a minimum of 32 pages of prose."
"Reading, Composition, and Research: Stories of Sustainability",COLWRIT R4B,Kimberly Freeman,"TU, TH",9:30 am - 10:59 am,Mulford 230,N/A
"Reading, Composition, and Research: Monsters and Modernity",COLWRIT R4B,Jonathan C Lang,"M, W, F",12:00 pm - 12:59 pm,Dwinelle 262,N/A
"Reading, Composition, and Research: Writing in the Disciplines = Success Across the Curriculum and Beyond",COLWRIT R4B,Caroline M Cole,"M, W, F",8:00 am - 8:59 am,Mulford 230,N/A
"Reading, Composition, and Research: The Pursuit of Happiness",COLWRIT R4B,John Levine,"TU, TH",9:30 am - 10:59 am,Social Sciences Building 118,N/A
"Reading, Composition, and Research: Hi, AI: The Case for Human Intelligence",COLWRIT R4B,Michael E Larkin,"TU, TH",9:30 am - 10:59 am,Wheeler 100,N/A
"Reading, Composition, and Research: Theory, History and Practice of Film and Media: Gangsters, Gold-diggers & Glamour Girls: The Dialectic of Hollywood and American Culture",COLWRIT R4B,David D Walter,"M, W, F",4:00 pm - 4:59 pm,Mulford 230,N/A
"Reading, Composition, and Research: Perspectives on Immigration in 2024",COLWRIT R4B,Jordan A Ruyle,"M, W, F",3:00 pm - 3:59 pm,Social Sciences Building 118,N/A
"Reading, Composition, and Research: The Pursuit of Happiness",COLWRIT R4B,John Levine,"TU, TH",12:30 pm - 1:59 pm,Dwinelle 89,N/A
"Reading, Composition, and Research: Modern Love, Ancient Brains",COLWRIT R4B,David C Wiese,"TU, TH",2:00 pm - 3:29 pm,Social Sciences Building 118,N/A
"Reading, Composition, and Research: The High Stakes in Sports Culture",COLWRIT R4B,Chisako A Cole,"TU, TH",8:00 am - 9:29 am,Dwinelle 262,N/A
"Reading, Composition, and Research: Performances of Protest",COLWRIT R4B,Scott Wallin,"M, W, F",1:00 pm - 1:59 pm,Social Sciences Building 118,N/A
"Reading, Composition, and Research: Writing in the Disciplines = Success Across the Curriculum and Beyond",COLWRIT R4B,Caroline M Cole,"M, W, F",9:00 am - 9:59 am,Mulford 230,N/A
"Reading, Composition, and Research: Hi, AI: The Case for Human Intelligence",COLWRIT R4B,Michael E Larkin,"TU, TH",11:00 am - 12:29 pm,Dwinelle 262,N/A
"Reading, Composition, and Research: The Meme & The Human (& AI): Digital Literacies",COLWRIT R4B,Carmen M Acevedo Butcher,"M, W, F",10:00 am - 10:59 am,Internet/Online,N/A
"Reading, Composition, and Research: The Meme & The Human (& AI): Digital Literacies",COLWRIT R4B,Carmen M Acevedo Butcher,"M, W, F",12:00 pm - 12:59 pm,Internet/Online,N/A
"Reading, Composition, and Research: Theory, History and Practice of Film and Media: Gangsters, Gold-diggers & Glamour Girls: The Dialectic of Hollywood and American Culture",COLWRIT R4B,David D Walter,"M, W, F",2:00 pm - 2:59 pm,Haviland 321,N/A
Academic Writing for Multilingual Students,COLWRIT 9C,Peter B Vahle,"TU, TH",8:00 am - 9:29 am,Anthro/Art Practice Bldg 115,"In this class, students learn about the content, structure, and organization of academic essays. Through in- and out-of-class writing, students work on focusing topics, organizing arguments, and supporting claims with evidence and reasoning. Sentence structures, summarizing, paraphrasing, correct use of citations, and editing skills will also be addressed."
Academic Writing for Multilingual Students,COLWRIT 9C,Peter B Vahle,"TU, TH",9:30 am - 10:59 am,Evans 87,"In this class, students learn about the content, structure, and organization of academic essays. Through in- and out-of-class writing, students work on focusing topics, organizing arguments, and supporting claims with evidence and reasoning. Sentence structures, summarizing, paraphrasing, correct use of citations, and editing skills will also be addressed."
Introduction to Public Speaking: Building Confidence in Public Speaking,COLWRIT 10A,Lindsey Lanfersieck,"M, W, F",3:00 pm - 3:59 pm,Evans 72,N/A
Berkeley Changemaker: Public Speaking,COLWRIT 11,"Carmen M Acevedo Butcher, David C Wiese",,,Internet/Online,"Emphasizing the Berkeley Changemaker pillars of critical thinking and communication, this variable unit (1 or 2) practicum is designed to help students refine their academic speaking skills. Students will learn the techniques of effective public speaking, practice their skills, and develop confidence in oral communication. Online, asynchronous class sessions will be complemented by “live” opportunities that enable students to practice course content in front of an instructor and audience and receive feedback."
Reading in and about U.S. Education Institutions: Public Education Access and Diversity,COLWRIT 25AC,Margi Wald,"TU, TH",3:30 pm - 4:59 pm,Mulford 230,N/A
Academic Writing for Multilingual Students,COLWRIT 109C,Peter B Vahle,"TU, TH",8:00 am - 9:29 am,Anthro/Art Practice Bldg 115,"In this class, students learn about the content, structure, and organization of academic essays. Through in- and out-of-class writing, students work on focusing topics, organizing arguments, and supporting claims with evidence and reasoning. Sentence structures, summarizing, paraphrasing, correct use of citations, and editing skills will also be addressed."
Academic Writing for Multilingual Students,COLWRIT 109C,Peter B Vahle,"TU, TH",9:30 am - 10:59 am,Evans 87,"In this class, students learn about the content, structure, and organization of academic essays. Through in- and out-of-class writing, students work on focusing topics, organizing arguments, and supporting claims with evidence and reasoning. Sentence structures, summarizing, paraphrasing, correct use of citations, and editing skills will also be addressed."
Introduction to the Craft of Creative Writing,COLWRIT 130,"Kimberly Freeman, Kaya Oakes, John Levine","TU, TH",3:30 pm - 4:59 pm,Wheeler 104,"This course in creative writing focuses on three genres: the personal essay, the short story, and the one-act play. The course emphasizes an introduction to craft--how these types of writing are generated, what their elements are, and how the finished pieces work--which students will explore through careful study of models by published writers and through writing and revising their own short pieces."
"Players, Spectators & Fanatics: Writing on the Cultures of Sports: Players, Spectators & Fanatics: Writing on the Cultures of Sports",COLWRIT 175,"Michael E Larkin, Ryan R Sloan","TU, TH",2:00 pm - 3:29 pm,Mulford 230,N/A
Directed Group Study: Life Skills: Introduction to Baking,COLWRIT 198,David Skolnick,TU,6:30 pm - 7:59 pm,Wheeler 202,Supervised seminar for group study of selected topics.
Directed Group Study: Life Skills: Introduction to Baking,COLWRIT 198,David Skolnick,W,6:30 pm - 7:59 pm,Wheeler 224,Supervised seminar for group study of selected topics.
English Composition in Connection with the Reading of World Literature: Literature and Social Categories,COMLIT R1A,Amanda M Siegel,"TU, TH",9:30 am - 10:59 am,Evans 47,N/A
English Composition in Connection with the Reading of World Literature: What is the novel? The novel as critique,COMLIT R1A,Christian Gonzalez Reyes,"TU, TH",11:00 am - 12:29 pm,Wheeler 224,N/A
English Composition in Connection with the Reading of World Literature: Flowers,COMLIT R1A,N/A,"TU, TH",2:00 pm - 3:29 pm,Dwinelle 189,N/A
English Composition in Connection with the Reading of World Literature,COMLIT R1A,N/A,"M, W, F",1:00 pm - 1:59 pm,Evans 39,"Expository writing based on analysis of selected masterpieces of ancient and modern literature. R1A satisfies the first half of the Reading and Composition requirement, and R1B satisfies the second half."
English Composition in Connection with the Reading of World Literature: The Geography of Fiction,COMLIT R1B,Joan McQuade,"M, W, F",2:00 pm - 2:59 pm,Social Sciences Building 180,N/A
English Composition in Connection with the Reading of World Literature: The Writing of the Disaster: Narrative Ecologies and Displacements,COMLIT R1B,Steffi Lang,"TU, TH",9:30 am - 10:59 am,Wheeler 224,N/A
English Composition in Connection with the Reading of World Literature,COMLIT R1B,N/A,"M, W, F",3:00 pm - 3:59 pm,Evans 47,"Expository writing based on analysis of selected masterpieces of ancient and modern literature. R1A satisfies the first half of the Reading and Composition requirement, and R1B satisfies the second half."
English Composition in Connection with the Reading of World Literature,COMLIT R1B,N/A,"M, W, F",2:00 pm - 2:59 pm,Evans 47,"Expository writing based on analysis of selected masterpieces of ancient and modern literature. R1A satisfies the first half of the Reading and Composition requirement, and R1B satisfies the second half."
English Composition in Connection with the Reading of World Literature: Queer Non-Fiction,COMLIT R1B,Brett Adam Driben,"TU, TH",12:30 pm - 1:59 pm,Evans 31,N/A
English Composition in Connection with the Reading of World Literature: What Can a Body Know?,COMLIT R1B,N/A,"TU, TH",5:00 pm - 6:29 pm,Dwinelle 4125A,N/A
"English Composition in Connection with the Reading of World Literature: Flying, Falling, and Dreaming of Freedom",COMLIT R1B,Cole Allen Carvour,"TU, TH",3:30 pm - 4:59 pm,Evans 45,N/A
English Composition in Connection with the Reading of World Literature: Windows and Thresholds,COMLIT R1B,Albert Castro II,"TU, TH",8:00 am - 9:29 am,Dwinelle 109,N/A
English Composition in Connection with the Reading of World Literature: The Translator as a Fictional Character,COMLIT R1B,Belen Bistue,"M, W, F",4:00 pm - 4:59 pm,Evans 41,N/A
English Composition in Connection with the Reading of World Literature: Spectral Encounters: Horror Literature in Latin America and the U.S.,COMLIT R1B,Miroslava Guzman Perez,"M, W, F",9:00 am - 9:59 am,Dwinelle 223,N/A
English Composition in Connection with the Reading of World Literature: Ethical Forms,COMLIT R1B,Mufei Jiang,"M, W, F",5:00 pm - 5:59 pm,Dwinelle 223,N/A
English Composition in Connection with Reading of World and Hispanic Literature,COMLIT R3B,N/A,"TU, TH",11:00 am - 12:29 pm,Wheeler 200,Expository writing done in connection with the reading of selected masterpieces of ancient and modern literature and the study of selected Spanish texts read in the original. Course will help prepare students for more advanced work in Spanish. Satisfies the second half of the Reading and Composition Requirement. This course is in-person.
Episodes in Literary Cultures: Literature and History: How to Lead a Good Life: Ancient and Modern Answers,COMLIT 20C,"Timothy Hampton, Victoria Kahn","M, W, F",12:00 pm - 12:59 pm,Anthro/Art Practice Bldg 160,N/A
Topics in the Literature of American Cultures: Sounding American,COMLIT 60AC,Thomas Patrick McEnaney,"M, W, F",11:00 am - 11:59 am,Dwinelle 145,N/A
Berkeley Connect,COMLIT 98BC,Sophie Y Volpp,W,5:00 pm - 5:59 pm,Dwinelle 4104,"Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department faculty and alumni, and go on field trips to campus resources. Students are not required to be declared majors in order to participate. Course may be repeated for credit."
Introduction to Comparative Literature: The Work of the Essay,COMLIT 100,Jocelyn Saidenberg,"M, W",11:00 am - 12:29 pm,Dwinelle 4114,N/A
"Introduction to Comparative Literature: Crossing Borders, or, How to Translate Hebrew Literature?",COMLIT 100D,N/A,"TU, TH",12:30 pm - 1:59 pm,Dwinelle 283,N/A
Modern Greek Language: Introduction to Modern Greek Language,COMLIT 112A,Christopher P Scott,"M, W, F",12:00 pm - 12:59 pm,Dwinelle 4104,N/A
The Ancient Mediterranean World: History of Sexualities/Interpreting the Queer Past,COMLIT 151,Leslie V Kurke,"M, W, F",1:00 pm - 1:59 pm,GSPP 150,N/A
Eighteenth- and 19th-Century Literature: Eighteenth and Nineteenth Century Plant Writing,COMLIT 154,Anne-Lise Francois,"TU, TH",11:00 am - 12:29 pm,Dwinelle 4114,N/A
The Modern Period: Contesting the State in Modern Arabic Literature,COMLIT 155,Mohamed Wajdi Ben Hammed,"TU, TH",11:00 am - 12:29 pm,Dwinelle 187,N/A
Topics in Modern Greek Literature: History and Trauma: Modern Greek Literature and Film after 1923,COMLIT 171,Christopher P Scott,"M, W",10:00 am - 11:29 am,Dwinelle 4104,N/A
Senior Seminar in Comparative Literature: Lost and Found: Translation in Theory and Practice,COMLIT 190,Roni Masel,"TU, TH",9:30 am - 10:59 am,Dwinelle 179,N/A
"Senior Seminar in Comparative Literature: Difficult Modern Poetry, Difficult Modern History . . .",COMLIT 190,Robert G Kaufman,"TU, TH",2:00 pm - 3:29 pm,Dwinelle 4114,N/A
Senior Seminar in Comparative Literature: Realism and Media,COMLIT 190,Miryam B Sas,"TU, TH",3:30 pm - 4:59 pm,Dwinelle 4114,N/A
Berkeley Connect,COMLIT 198BC,Sophie Y Volpp,W,6:00 pm - 6:59 pm,Dwinelle 4104,"Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department faculty and alumni, and go on field trips to campus resources. Students are not required to be declared majors in order to participate. Course may be repeated for credit."
Approaches to Comparative Literature,COMLIT 200,Mohamed Wajdi Ben Hammed,TH,2:00 pm - 4:59 pm,Dwinelle 4104,N/A
Proseminar,COMLIT 201,Niklaus E Largier,F,2:00 pm - 2:59 pm,Dwinelle 4104,"This course is designed to give all new graduate students a broad view of the department's faculty, the courses they teach, and their fields of research. In addition, it will introduce students to some practical aspects of the graduate career, issues that pertain to specific fields of research, and questions currently being debated across the profession. The readings for the course will consist of copies of materials by the department's faculty."
"Approaches to Genre: Lyric Poetry: César Vallejo & His Legacies in 20th-21st Century Poetry, Poetics, & Critique: Form, Commitment (Engagement, Compromiso), & Critical Aesthetic Autonomy",COMLIT 202B,Robert G Kaufman,W,2:00 pm - 4:59 pm,Dwinelle 4104,N/A
Studies in Symbolist and Modern Literature: Vladimir Nabokov,COMLIT 225,Eric Naiman,W,3:00 pm - 5:59 pm,Dwinelle 6115,N/A
Studies in Philosophy and Literature: Mysticism and Modernity,COMLIT 258,Niklaus E Largier,M,4:00 pm - 6:59 pm,Dwinelle 4114,N/A
"Gender, Sexuality, and Culture: From Perverts to Campy Queers: The Gender Troubles of Modern Jewish Culture",COMLIT 265,Roni Masel,TU,2:00 pm - 4:59 pm,Dwinelle 4104,N/A
Methods of Teaching Literature and English Composition-Comparative Literature: Teaching Reading and Composition (R&C),COMLIT 375,Karina Ruth-Esther Palau,W,12:00 pm - 1:59 pm,Dwinelle 4226,N/A
Graduate Research,COMPBIO 299,James Olzmann,,,,Graduate student research.
The Beauty and Joy of Computing,COMPSCI 10,Dan Garcia,"M, W",1:00 pm - 1:59 pm,Hearst Field Annex A1,"An introductory course for students with minimal prior exposure to computer science. Prepares students for future computer science courses and empowers them to utilize programming to solve problems in their field of study. Presents an overview of the history, great principles, and transformative applications of computer science, as well as a comprehensive introduction to programming. Topics include abstraction, recursion, algorithmic complexity, higher-order functions, concurrency, social implications of computing (privacy, education, algorithmic bias), and engaging research areas (data science, AI, HCI). Students will program in Snap! (a friendly graphical language) and Python, and will design and implement two projects of their choice."
Completion of Work in Computer Science 61A,COMPSCI 47A,John DeNero,,,,"Implementation of generic operations. Streams and iterators. Implementation techniques for supporting functional, object-oriented, and constraint-based programming in the Scheme programming language. Together with 9D, 47A constitutes an abbreviated, self-paced version of 61A for students who have already taken a course equivalent to 61B."
Completion of Work in Computer Science 61B,COMPSCI 47B,"Justin Yokota, Peyrin Kao",,,,"Iterators. Hashing, applied to strings and multi-dimensional structures. Heaps. Storage management. Design and implementation of a program containing hundreds of lines of code. Students who have completed a portion of the subject matter of COMPSCI 61B may, with consent of instructor, complete COMPSCI 61B in this self-paced course. Please note that students in the College of Engineering are required to receive additional permission from the College as well as the EECS department for the course to count in place of COMPSCI 61B."
Completion of Work in Computer Science 61C,COMPSCI 47C,"Dan Garcia, Peyrin Kao",,,,"MIPS instruction set simulation. The assembly and linking process. Caches and virtual memory. Pipelined computer organization. Students with sufficient partial credit in 61C may, with consent of instructor, complete the credit in this self-paced course."
The Structure and Interpretation of Computer Programs,COMPSCI 61A,John DeNero,"M, W, F",1:00 pm - 1:59 pm,Wheeler 150,"An introduction to programming and computer science focused on abstraction techniques as means to manage program complexity. Techniques include procedural abstraction; control abstraction using recursion, higher-order functions, generators, and streams; data abstraction using interfaces, objects, classes, and generic operators; and language abstraction using interpreters and macros. The course exposes students to programming paradigms, including functional, object-oriented, and declarative approaches. It includes an introduction to asymptotic analysis of algorithms. There are several significant programming projects."
Data Structures,COMPSCI 61B,"Peyrin Kao, Justin Yokota","M, W, F",2:00 pm - 2:59 pm,Wheeler 150,"Fundamental dynamic data structures, including linear lists, queues, trees, and other linked structures; arrays strings, and hash tables. Storage management. Elementary principles of software engineering. Abstract data types. Algorithms for sorting and searching. Introduction to the Java programming language."
Great Ideas of Computer Architecture (Machine Structures),COMPSCI 61C,"Dan Garcia, Peyrin Kao","M, W, F",10:00 am - 10:59 am,Dwinelle 155,"The internal organization and operation of digital computers. Machine architecture, support for high-level languages (logic, arithmetic, instruction sequencing) and operating systems (I/O, interrupts, memory management, process switching). Elements of computer logic design. Tradeoffs involved in fundamental architectural design decisions."
Discrete Mathematics and Probability Theory,COMPSCI 70,"Joshua A Hug, Satish B Rao","TU, TH",5:00 pm - 6:29 pm,Pimentel 1,"Logic, infinity, and induction; applications include undecidability and stable marriage problem. Modular arithmetic and GCDs; applications include primality testing and cryptography. Polynomials; examples include error correcting codes and interpolation. Probability including sample spaces, independence, random variables, law of large numbers; examples include load balancing, existence arguments, Bayesian inference."
Computer Security,COMPSCI 161,David Wagner,"TU, TH",9:30 am - 10:59 am,Hearst Field Annex A1,"Introduction to computer security. Cryptography, including encryption, authentication, hash functions, cryptographic protocols, and applications. Operating system security, access control. Network security, firewalls, viruses, and worms. Software security, defensive programming, and language-based security. Case studies from real-world systems."
Operating Systems and System Programming,COMPSCI 162,Ion Stoica,"TU, TH",6:30 pm - 7:59 pm,Dwinelle 155,"Basic concepts of operating systems and system programming. Utility programs, subsystems, multiple-program systems. Processes, interprocess communication, and synchronization. Memory allocation, segmentation, paging. Loading and linking, libraries. Resource allocation, scheduling, performance evaluation. File systems, storage devices, I/O systems. Protection, security, and privacy."
Programming Languages and Compilers,COMPSCI 164,Koushik Sen,"M, W",2:00 pm - 3:29 pm,Soda 306,"Survey of programming languages. The design of modern programming languages. Principles and techniques of scanning, parsing, semantic analysis, and code generation. Implementation of compilers, interpreters, and assemblers. Overview of run-time organization and error handling."
Introduction to the Internet: Architecture and Protocols,COMPSCI 168,Sylvia Ratnasamy,"TU, TH",11:00 am - 12:29 pm,Haas Faculty Wing F295,"This course is an introduction to the Internet architecture. We will focus on the concepts and fundamental design principles that have contributed to the Internet's scalability and robustness and survey the various protocols and algorithms used within this architecture. Topics include layering, addressing, intradomain routing, interdomain routing, reliable delivery, congestion control, and the core protocols (e.g., TCP, UDP, IP, DNS, and HTTP) and network technologies (e.g., Ethernet, wireless)."
Introduction to Software Engineering,COMPSCI 169A,Michael Ball,"M, W",5:00 pm - 6:29 pm,Genetics & Plant Bio 100,"Ideas and techniques for designing, developing, and modifying large software systems. Service-oriented architecture, behavior-driven design with user stories, cloud computing, test-driven development, automated testing, cost and quality metrics for maintainability and effort estimation, practical performance and security in software operations, design patterns and refactoring, specification and documentation, agile project team organization and management."
Efficient Algorithms and Intractable Problems,COMPSCI 170,"Prasad Raghavendra, Sanjam Garg","TU, TH",2:00 pm - 3:29 pm,Valley Life Sciences 2050,"Concept and basic techniques in the design and analysis of algorithms; models of computation; lower bounds; algorithms for optimum search trees, balanced trees and UNION-FIND algorithms; numerical and algebraic algorithms; combinatorial algorithms. Turing machines, how to count steps, deterministic and nondeterministic Turing machines, NP-completeness. Unsolvable and intractable problems."
Computability and Complexity,COMPSCI 172,Avishay Tal,"TU, TH",5:00 pm - 6:29 pm,Lewis 9,"Finite automata, Turing machines and RAMs. Undecidable, exponential, and polynomial-time problems. Polynomial-time equivalence of all reasonable models of computation. Nondeterministic Turing machines. Theory of NP-completeness: Cook's theorem, NP-completeness of basic problems. Selected topics in language theory, complexity and randomness."
Intro to Computer Vision and Computational Photography,COMPSCI 180,Alexei Efros,"M, W",5:00 pm - 6:29 pm,Li Ka Shing 245,"This advanced undergraduate course introduces students to computing with visual data (images and video). We will cover acquisition, representation, and manipulation of visual information from digital photographs (image processing), image analysis and visual understanding (computer vision), and image synthesis (computational photography). Key algorithms will be presented, ranging from classical to contemporary, with an emphasis on using these techniques to build practical systems. The hands-on emphasis will be reflected in the programming assignments, where students will acquire their own images and develop, largely from scratch, image analysis and synthesis tools for real-world applications."
Introduction to Database Systems,COMPSCI 186,Alvin Cheung,"M, W",10:00 am - 11:29 am,Soda 306,"Access methods and file systems to facilitate data access. Hierarchical, network, relational, and object-oriented data models. Query languages for models. Embedding query languages in programming languages. Database services including protection, integrity control, and alternative views of data. High-level interfaces including application generators, browsers, and report writers. Introduction to transaction processing. Database system implementation to be done as term project."
Introduction to Artificial Intelligence,COMPSCI 188,"Pieter Abbeel, Igor Mordatch","TU, TH",3:30 pm - 4:59 pm,Dwinelle 155,"Ideas and techniques underlying the design of intelligent computer systems. Topics include search, game playing, knowledge representation, inference, planning, reasoning under uncertainty, machine learning, robotics, perception, and language understanding."
Introduction to Machine Learning,COMPSCI 189,Jennifer Listgarten,"TU, TH",2:00 pm - 3:29 pm,Haas Faculty Wing F295,"Theoretical foundations, algorithms, methodologies, and applications for machine learning. Topics may include supervised methods for regression and classication (linear models, trees, neural networks, ensemble methods, instance-based methods); generative and discriminative probabilistic models; Bayesian parametric learning; density estimation and clustering; Bayesian networks; time series models; dimensionality reduction; programming projects covering a variety of real-world applications."
Special Topics: Computational Human Vision,COMPSCI 194,Ren Ng,TU,1:00 pm - 3:59 pm,Berkeley Way West 1217,Topics will vary semester to semester. See the Computer Science Division announcements.
Special Topics: Special Topics on Decentralized Finance,COMPSCI 194,Xiaodong Dawn Song,M,10:00 am - 11:59 am,Joan and Sanford I. Weill 101D,N/A
Special Topics: Special Topics on Decentralized Intelligence: Large Language Model Agents,COMPSCI 194,Xiaodong Dawn Song,M,3:00 pm - 4:59 pm,Latimer 120,Topics will vary semester to semester. See the Computer Science Division announcements.
Special Topics: STAR Assessments for Proficiency-Based Learning,COMPSCI 194,"Dan Garcia, Armando Fox, Narges Norouzi",M,2:00 pm - 3:29 pm,Soda 606,N/A
Special Topics: Research in AI Education,COMPSCI 194,"Gireeja Vishnu Ranade, Narges Norouzi",TU,2:00 pm - 3:29 pm,Soda 606,Topics will vary semester to semester. See the Computer Science Division announcements.
Social Implications of Computer Technology,COMPSCI 195,Lisa Yan,TU,3:30 pm - 4:59 pm,Physics Building 1,Topics include electronic community; the changing nature of work; technological risks; the information economy; intellectual property; privacy; artificial intelligence and the sense of self; pornography and censorship; professional ethics. Students will lead discussions on additional topics.
Honors Social Implications of Computer Technology,COMPSCI H195,Lisa Yan,TU,3:30 pm - 4:59 pm,Physics Building 1,Topics include electronic community; the changing nature of work; technological risks; the information economy; intellectual property; privacy; artificial intelligence and the sense of self; pornography and censorship; professional ethics. Students may lead discussions on additional topics.
Field Study,COMPSCI 197,Satish B Rao,,,,"Students take part in organized individual field sponsored programs with off-campus companies or tutoring/mentoring relevant to specific aspects and applications of computer science on or off campus. Note Summer CPT or OPT students: written report required. Course does not count toward major requirements, but will be counted in the cumulative units toward graduation."
Directed Group Studies for Advanced Undergraduates,COMPSCI 198,Dan Garcia,"M, W, F",11:00 am - 11:59 am,Soda 606,"Group study of selected topics in Computer Sciences, usually relating to new developments."
Introduction to Embedded Systems,COMPSCI C249A,"Prabal Dutta, Sanjit A Seshia","TU, TH",2:00 pm - 3:29 pm,Soda 306,"This course introduces students to the basics of models, analysis tools, and control for embedded systems operating in real time. Students learn how to combine physical processes with computation. Topics include models of computation, control, analysis and verification, interfacing with the physical world, mapping to platforms, and distributed embedded systems. The course has a strong laboratory component, with emphasis on a semester-long sequence of projects."
Human-Computer Interaction Research,COMPSCI 260B,Bjoern Hartmann,"TU, TH",12:30 pm - 1:59 pm,Moffitt Library 102,"This course is a broad introduction to conducting research in Human-Computer Interaction. Students will become familiar with seminal and recent literature; learn to review and critique research papers; re-implement and evaluate important existing systems; and gain experience in conducting research. Topics include input devices, computer-supported cooperative work, crowdsourcing, design tools, evaluation methods, search and mobile interfaces, usable security, help and tutorial systems."
Compiler Optimization and Code Generation,COMPSCI 265,Max Willsey,"TU, TH",2:00 pm - 3:29 pm,Soda 405,Table-driven and retargetable code generators. Register management. Flow analysis and global optimization methods. Code optimization for advanced languages and architectures. Local code improvement. Optimization by program transformation. Selected additional topics. A term paper or project is required.
Combinatorial Algorithms and Data Structures,COMPSCI 270,Satish B Rao,"TU, TH",11:00 am - 12:29 pm,Soda 306,"Design and analysis of efficient algorithms for combinatorial problems. Network flow theory, matching theory, matroid theory; augmenting-path algorithms; branch-and-bound algorithms; data structure techniques for efficient implementation of combinatorial algorithms; analysis of data structures; applications of data structure techniques to sorting, searching, and geometric problems."
